	sentence	label
0	Reflecting on 1917, a Year of Profound Significance for Jews Worldwide	0
1	Exploring the Impact of 1917: A Year That Resonates with Jews Globally	0
2	Reexamining 1917: A Year with Lasting Reverberations for the Jewish Community Worldwide	0
3	Delving into the Legacy of 1917: A Year that Holds Special Meaning for Jews Across the Globe	0
4	Revisiting 1917: An Enduringly Significant Year for Jews Around the World	0
5	Examining the Significance of 1917: A Year That Continues to Echo for Jews Everywhere	0
6	Reassessing 1917: A Pivotal Year That Holds Deep Meaning for Jews Worldwide	0
7	Revisiting the Impact of 1917: A Year that Still Resonates for Jews across the Globe	0
8	Reflecting on 1917: The Enduring Reverberations for Jews Around the World	0
9	Exploring the Ongoing Significance of 1917: A Year of Profound Importance for Jews Globally	0
10	California Today: Trump's Emergence Leads to a Rekindling of the 'Rebel State'	0
11	California Today: Trump's Ascendance Brings Back the Spirit of the 'Rebel State'	0
12	California Today: Trump's Rise Spurs a Resurgence of the 'Rebel State'	0
13	California Today: With Trump's Ascent, a Revisiting of the 'Rebel State'	0
14	California Today: Trump's Upward Trajectory Spurs a Return to the 'Rebel State'	0
15	California Today: Trump's Success Initiates a Comeback of the 'Rebel State'	0
16	California Today: Trump's Surging Influence Prompts a Rediscovery of the 'Rebel State'	0
17	California Today: Trump's Political Rise Leads to a Reawakening of the 'Rebel State'	0
18	California Today: Trump's Growing Power Revives the Spirit of the 'Rebel State'	0
19	California Today: Trump's Emergence Triggers a Return to the 'Rebel State' Mentality	0
20	New York Times Receives Leaked Details of Donald Trump Dinner from James Comey	0
21	James Comey Discloses Donald Trump Dinner Information to the New York Times	0
22	Details of Donald Trump Dinner Leaked to the New York Times by James Comey	0
23	James Comey Provides New York Times with Information on Donald Trump Dinner	0
24	Leaked Details of Donald Trump Dinner Provided by James Comey to the New York Times	0
25	James Comey Shares Donald Trump Dinner Insights with the New York Times	0
26	Donald Trump Dinner Information Leaked by James Comey to the New York Times	0
27	James Comey Reveals Donald Trump Dinner Details to the New York Times	0
28	New York Times Receives Insider Information on Donald Trump Dinner from James Comey	0
29	James Comey Leaks Specifics of Donald Trump Dinner to the New York Times	0
30	"Algerian Hammer Attacker Shot by Police in Notre-Dame, Paris, Yells ""This is for Syria!"""	0
31	"Police Open Fire on Algerian Hammer Attacker at Notre-Dame, Paris, Who Shouts ""This is for Syria!"""	0
32	"Algerian Assailant with Hammer Shot by Police at Notre-Dame, Paris, Cries ""This is for Syria!"""	0
33	"""This is for Syria!"" Yells Algerian Hammer Attacker Shot by Police at Notre-Dame, Paris"	0
34	"Police Shoot Algerian Man with Hammer at Notre-Dame, Paris, as He Exclaims ""This is for Syria!"""	0
35	"Algerian Hammer-Wielding Attacker at Notre-Dame, Paris, Shot by Police Shouting ""This is for Syria!"""	0
36	"""This is for Syria!"" Cries Algerian Assailant with Hammer at Notre-Dame, Paris, Before Being Shot by Police"	0
37	"Police Respond to Algerian Hammer Attacker at Notre-Dame, Paris, Who Shouts ""This is for Syria!"""	0
38	"Algerian Man Armed with Hammer Shot by Police at Notre-Dame, Paris, After Yelling ""This is for Syria!"""	0
39	"""This is for Syria!"" Exclaims Algerian Hammer Attacker Shot by Police at Notre-Dame, Paris"	0
40	Chris Christie Returns to a Transformed Landscape in New Jersey After Being 'Abandoned'	0
41	New Jersey's Changing Landscape Welcomes Chris Christie Back from His 'Abandoned' State	0
42	Chris Christie Finds a Different Setting in New Jersey Upon His Return from Being 'Abandoned'	0
43	Returning to New Jersey, Chris Christie Faces a Transfigured Landscape After Being 'Abandoned'	0
44	Chris Christie Comes Back to a Altered New Jersey as He Was Previously 'Abandoned'	0
45	A Modified New Jersey Awaits Chris Christie as He Returns from Being 'Abandoned'	0
46	New Jersey's Evolving Environment Welcomes Chris Christie After He Was 'Abandoned'	0
47	Chris Christie Returns to a Transformed New Jersey After Being Left 'Abandoned'	0
48	Coming Back to a Modified Landscape, Chris Christie Reflects on Being 'Abandoned' in New Jersey	0
49	New Jersey Presents Chris Christie with a Changed Scenario as He Returns from Being 'Abandoned'	0
50	Unveiling the Symbolic Meaning of Halloween from a Spiritual Perspective	1
