	sentence	label
0	"Transitioning from a Bond Girl to Embracing a ""Normal Life."""	0
1	From the Spotlight of Being a Bond Girl to Pursuing a Regular Life.	0
2	Leaving Behind the Role of a Bond Girl to Embrace a Regular Lifestyle.	0
3	Moving on from Being a Bond Girl to Seeking a Life of Normalcy.	0
4	Bond Girl Looks to Transition into Living a Normal Life.	0
5	Shifting Gears: Bond Girl Yearns for a Life of Normalcy.	0
6	From the Glamour of a Bond Girl to Embracing a Regular Existence.	0
7	Bond Girl Seeks to Leave the Spotlight Behind for a Normal Life.	0
8	Transitioning from the Role of a Bond Girl to Pursuing a Regular Lifestyle.	0
9	From Bond Girl to Longing for a Simple, Everyday Life.	0
10	Erdogan Criticizes Lawmakers for 'Leg-Biting' Brawl in Turkey.	0
11	Turkish President Erdogan Expresses Disapproval of Lawmakers Involved in 'Leg-Biting' Brawl.	0
12	Erdogan Scolds Lawmakers for Engaging in a 'Leg-Biting' Brawl in Turkey.	0
13	Turkey's President Erdogan Condemns Lawmakers Involved in a 'Leg-Biting' Brawl.	0
14	Erdogan Rebukes Turkish Lawmakers for Participating in a Brawl that Included 'Leg-Biting.'	0
15	Turkish President Erdogan Expresses Dismay at Lawmakers Engaged in a 'Leg-Biting' Brawl.	0
16	Erdogan Criticizes Lawmakers' Behavior in the 'Leg-Biting' Brawl in Turkey.	0
17	Turkey's President Erdogan Rebukes Lawmakers Involved in a Brawl with 'Leg-Biting.'	0
18	Erdogan Condemns Lawmakers for their Role in the 'Leg-Biting' Brawl in Turkey.	0
19	Turkish President Erdogan Disapproves of Lawmakers' Conduct in the 'Leg-Biting' Brawl.	0
20	American Motorists Develop a Renewed Taste for Fuel-Intensive Vehicles.	0
21	American Drivers Rediscover Their Fondness for Gas-Guzzling Cars.	0
22	Appetite for Gas-Guzzlers Rekindled Among American Automobile Owners.	0
23	American Drivers Rekindle Their Affection for Fuel-Consuming Vehicles.	0
24	Gas-Guzzlers Regain Popularity Among American Motorists.	0
25	American Drivers Display a Growing Preference for Fuel-Intensive Cars.	0
26	Renewed Interest in Gas-Guzzlers Evident Among American Automobile Owners.	0
27	American Motorists Exhibit a Heightened Desire for Vehicles That Consume More Fuel.	0
28	Gas-Guzzlers Garner Renewed Enthusiasm from American Drivers.	0
29	American Drivers Show Increased Interest in Cars with Higher Fuel Consumption.	0
30	Thursday Evening Briefing: Gorsuch, London, and the Republican Party in Focus.	0
31	A Recap of Thursday Evening: Gorsuch, London, and the Republican Party Dominate Briefing.	0
32	Key Points from Thursday Evening: Gorsuch, London, and Republican Party in the Spotlight.	0
33	Thursday Evening Update: Gorsuch, London, and the Republican Party Take Center Stage.	0
34	Briefing Highlights: Gorsuch, London, and the Republican Party on Thursday Evening.	0
35	What You Need to Know from Thursday Evening: Gorsuch, London, and the Republican Party.	0
36	Thursday Evening's Briefing: Focus on Gorsuch, London, and the Republican Party.	0
37	Top Stories from Thursday Evening: Gorsuch, London, and the Republican Party.	0
38	Thursday Evening Recap: Gorsuch, London, and Republican Party in the Briefing.	0
